# 泰深输入法专业词库 — 医学
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一年生植物	yinianshengzhiwu
葡萄糖酸氯已定	putaotangsuanlvyiding
葡萄糖酸钙注射液	putaotangsuangaizhusheye
葡萄糖酸钙片	putaotangsuangaipian
葡萄糖酸钠	putaotangsuanna
葡萄糖酸锌	putaotangsuanxin
葡萄糖酸锌口服液	putaotangsuanxinkoufuye
葡萄糖酸锌咀嚼片	putaotangsuanxinjujuepian
葡萄糖酸锌片	putaotangsuanxinpian
葡萄糖酸锌颗粒	putaotangsuanxinkeli
葡萄糖酸锌鼻喷剂	putaotangsuanxinbipenji
葡萄糖醛酸	putaotangquansuan
葡萄膜大脑炎	putaomodanaoyan
葡萄膜炎	putaomoyan
葡萄酒色痣	putaojiusezhi
葡醛内酯	puquanneizhi
葡醛内酯片	puquanneizhipian
葡醛酸钠注射液	puquansuannazhusheye
葫芦巴碱	hulubajian
葫芦素片	hulusupian
葵花护肝片	kuihuahuganpian
葶苈草颗粒	tinglicaokeli
蒋彦永	jiangyanyong
蒎烯	paixi
蒙古斑	mengguban
蒙脱石散剂	mengtuoshisanji
蒲公英胶囊	pugongyingjiaonang
蒲公英颗粒	pugongyingkeli
蒲地蓝消炎口服液	pudilanxiaoyankoufuye
蒲地蓝消炎片	pudilanxiaoyanpian
蒲地蓝消炎胶囊	pudilanxiaoyanjiaonang
蒲黄	puhuang
蒸汽消毒	zhengqixiaodu
蒸馏水机	zhengliushuiji
蒽醌类	enkunlei
蒿甲醚	haojiami
蒿甲醚注射液	haojiamizhusheye
蒿甲醚片	haojiamipian
蒿芩清胆汤	haoqinqingdantang
蓝痣	lanzhi
蓝芩口服液	lanqinkoufuye
蓝芩颗粒	lanqinkeli
蓝顿	landun
蓼参胶囊	liaocanjiaonang
蔓状血管瘤	manzhuangxueguanliu
蔗糖脂肪酸酯	zhetangzhifangsuanzhi
蔗糖铁	zhetangtie
蔬菜皮炎	shucaipiyan
蕈样肉芽肿	xunyangrouyazhong
蕲蛇酶注射液	qishemeizhusheye
薄层层析法	baocengcengxifa
薄层扫描	baocengsaomiao
薄芝糖肽注射液	baozhitangtaizhusheye
薄荷喉片	bohehoupian
薄荷桉油含片	boheanyouhanpian
薄荷素油	bohesuyou
薄荷酮	bohetong
薄荷麝香草酚搽剂	boheshexiangcaofenchaji
薏米仁	yimiren
薏苡仁汤	yiyirentang
薏苡附子败酱散	yiyifuzibaijiangsan
薏辛除湿止痛胶囊	yixinchushizhitongjiaonang
薛氏医案	xueshiyian
薛社普	xueshepu
薛雪	xuexue
薯蓣皂苷	shuyuzaogan
藏毛窦	cangmaodou
藏菖蒲	cangchangpu
藏锦鸡儿	cangjinjier
藏青果喉片	zangqingguohoupian
藤野严九郎	tengyeyanjiulang
藤黄健骨丸	tenghuangjianguwan
藻红蛋白	zaohongdanbai
藻蓝蛋白	zaolandanbai
藻酸双脂钠	zaosuanshuangzhina
藻酸双脂钠片	zaosuanshuangzhinapian
藻酸双酯钠	zaosuanshuangzhina
藻酸双酯钠片	zaosuanshuangzhinapian
藿朴夏苓汤	huopuxialingtang
藿香正气丸	huoxiangzhengqiwan
藿香正气口服液	huoxiangzhengqikoufuye
藿香正气散	huoxiangzhengqisan
藿香正气滴丸	huoxiangzhengqidiwan
藿香正气片	huoxiangzhengqipian
藿香正气胶囊	huoxiangzhengqijiaonang
藿香正气软胶囊	huoxiangzhengqiruanjiaonang
藿香正气颗粒	huoxiangzhengqikeli
藿香清胃胶囊	huoxiangqingweijiaonang
藿香祛暑软胶囊	huoxiangqushuruanjiaonang
蘑菇肺	mogufei
虎力散	hulisan
虎力散胶囊	hulisanjiaonang
虎口穴	hukouxue
虎杖苷	huzhanggan
虎标万金油	hubiaowanjinyou
虎潜丸	huqianwan
虎驹乙肝胶囊	hujuyiganjiaonang
虎骨木瓜丸	hugumuguawan
虎骨追风酒	huguzhuifengjiu
虚则补之	xuzebuzhi
虚劳病	xulaobing
虚实夹杂证	xushijiazazheng
虚寒症	xuhanzheng
虚寒胃痛颗粒	xuhanweitongkeli
虚寒证	xuhanzheng
虚汗停颗粒	xuhantingkeli
虚烦不眠	xufanbumian
虚热证	xurezheng
虚邪贼风	xuxiezeifeng
虫媒传染病	chongmeichuanranbing
虫室	chongshi
虫草五味颗粒	chongcaowuweikeli
虫草参芪口服液	chongcaocanqikoufuye
虫草参芪膏	chongcaocanqigao
虫草川贝膏	chongcaochuanbeigao
虫草氨基酸	chongcaoanjisuan
虫草洋参胶囊	chongcaoyangcanjiaonang
虫草清肺胶囊	chongcaoqingfeijiaonang
虫草素	chongcaosu
虫草芪参胶囊	chongcaoqicanjiaonang
虫黄藻	chonghuangzao
虱病	shibing
虹膜切除术	hongmoqiechushu
虹膜根部离断	hongmogenbuliduan
虹膜睫状体炎	hongmojiezhuangtiyan
虹膜缺损	hongmoquesun
蚁走感	yizougan
蚁陈固涩口服液	yichengusekoufuye
蚂蚁双参通痹丸	mayishuangcantongbiwan
蚊不叮	wenbuding
蚓激酶	yinjimei
蚕砂	cansha
蚤叮咬	zaodingyao
蛇伤解毒片	sheshangjiedupian
蛇六谷	sheliugu
蛇毒中毒	sheduzhongdu
蛇毒血凝酶	sheduxueningmei
蛇胆川贝口服液	shedanchuanbeikoufuye
蛇胆川贝散	shedanchuanbeisan
蛇胆川贝枇杷膏	shedanchuanbeipipagao
蛇胆川贝液	shedanchuanbeiye
蛇胆川贝胶囊	shedanchuanbeijiaonang
蛇胆追风丸	shedanzhuifengwan
蛇胆陈皮	shedanchenpi
蛇胆陈皮口服液	shedanchenpikoufuye
蛇胆陈皮散	shedanchenpisan
蛇胆陈皮液	shedanchenpiye
蛇舌草	sheshecao
蛋白水解酶	danbaishuijiemei
蛋白质合成	danbaizhihecheng
蛋白质粉	danbaizhifen
蛋白质营养不良	danbaizhiyingyangbuliang
蛋白酶抑制剂	danbaimeiyizhiji
蛔虫卵	huichongluan
蛔虫性肠梗阻	huichongxingchanggengzu
蛛网膜下出血	zhuwangmoxiachuxie
蛛网膜下腔	zhuwangmoxiaqiang
蛛网膜囊肿	zhuwangmonangzhong
蛛网膜炎	zhuwangmoyan
蛛网膜颗粒	zhuwangmokeli
蛤蚧定喘丸	gejiedingchuanwan
蛤蚧定喘胶囊	gejiedingchuanjiaonang
蛤蚧补肾丸	gejiebushenwan
蛲虫病	naochongbing
蛾苓丸	elingwan
蛾贞胶丸	ezhenjiaowan
蜂窝织炎	fengwozhiyan
蜂腊	fengla
蜂蛰伤	fengzheshang
蜂螫伤	fengshishang
蜈蚣咬伤	wugongyaoshang
蜈黛软膏	wudairuangao
蜘蛛咬伤	zhizhuyaoshang
蜜炼川贝枇杷膏	milianchuanbeipipagao
蜜甘草	migancao
蜡样芽胞杆菌	layangyabaoganjun
蜡片	lapian
蜡腺	laxian
蜡膜	lamo
蜱传回归热	pichuanhuiguire
蜱传脑炎	pichuannaoyan
蜱叮咬	pidingyao
蝇蛆病	yingqubing
蝮蛇抗栓酶	fushekangshuanmei
蝰蛇科	kuisheke
螃蟹甲	pangxiejia
融合基因	ronghejiyin
螨病	manbing
螨皮炎	manpiyan
螨虫病	manchongbing
螺内酯片	luoneizhipian
螺内酯胶囊	luoneizhijiaonang
螺旋器	luoxuanqi
螺旋藻片	luoxuanzaopian
螺旋藻胶囊	luoxuanzaojiaonang
螺旋藻软胶囊	luoxuanzaoruanjiaonang
螺旋霉素片	luoxuanmeisupian
螺纹管	luowenguan
螺菌	luojun
蟹黄肤宁软膏	xiehuangfuningruangao
蟾皮病	chanpibing
蟾蜍中毒	chanchuzhongdu
蟾蜍毒	chanchudu
蟾麝救心丸	chanshejiuxinwan
蠕形螨病	ruxingmanbing
蠕虫病	ruchongbing
蠲痹汤	juanbitang
血凝抑制试验	xueningyizhishiyan
血凝试验	xueningshiyan
血凝酶	xueningmei
血友病性关节炎	xueyoubingxingguanjieyan
血吸虫性肝硬化	xuexichongxingganyinghua
血型抗原	xuexingkangyuan
血型物质	xuexingwuzhi
血型系统	xuexingxitong
血塞通分散片	xuesaitongfensanpian
血塞通注射液	xuesaitongzhusheye
血塞通滴丸	xuesaitongdiwan
血塞通片	xuesaitongpian
血塞通胶囊	xuesaitongjiaonang
血塞通软胶囊	xuesaitongruanjiaonang
血容量	xuerongliang
血小板减少	xuexiaobanjianshao
血小板减少性紫癜	xuexiaobanjianshaoxingzidian
血小板减少症	xuexiaobanjianshaozheng
血小板计数	xuexiaobanjishu
血尿安胶囊	xueniaoanjiaonang
血府逐瘀丸	xuefuzhuyuwan
血府逐瘀口服液	xuefuzhuyukoufuye
血府逐瘀胶囊	xuefuzhuyujiaonang
血康口服液	xuekangkoufuye
血必净注射液	xuebijingzhusheye
血栓性微血管病	xueshuanxingweixueguanbing
血栓性脉管炎	xueshuanxingmaiguanyan
血栓栓塞	xueshuanshuanse
血栓通	xueshuantong
血栓通注射液	xueshuantongzhusheye
血栓通胶囊	xueshuantongjiaonang
血栓闭塞性脉管炎	xueshuanbisexingmaiguanyan
血气分析	xueqifenxi
血氨	xuean
血流速度	xueliusudu
血浆同型半胱氨酸	xuejiangtongxingbanguangansuan
血浆置换术	xuejiangzhihuanshu
血浆蛋白	xuejiangdanbai
血浆蛋白结合率	xuejiangdanbaijiehelv
血海穴	xuehaixue
血液传播	xueyechuanbo
血液保存液	xueyebaocunye
血液内科	xueyeneike
血液凝固	xueyeninggu
血液学检验	xueyexuejianyan
血液循环系统	xueyexunhuanxitong
血液滤过	xueyelvguo
血液灌流器	xueyeguanliuqi
血液稀释	xueyexishi
血液透析滤过	xueyetouxilvguo
血清学诊断	xueqingxuezhenduan
血清抗体	xueqingkangti
血清球蛋白	xueqingqiudanbai
血清疗法	xueqingliaofa
血清病性荨麻疹	xueqingbingxingxunmazhen
血清白蛋白	xueqingbaidanbai
血清胆红素	xueqingdanhongsu
血源性肺脓肿	xueyuanxingfeinongzhong
血滞通胶囊	xuezhitongjiaonang
血热妄行	xuerewangxing
血热证	xuerezheng
血疗	xueliao
血疱	xuepao
血痹	xuebi
血瘀证	xueyuzheng
血窦	xuedou
血管内支架	xueguanneizhijia
血管吻合	xueguanwenhe
血管平滑肌瘤	xueguanpinghuajiliu
血管性头痛	xueguanxingtoutong
血管性痴呆	xueguanxingchidai
血管性紫癜	xueguanxingzidian
血管成形术	xueguanchengxingshu
血管损伤	xueguansunshang
血管支架	xueguanzhijia
血管收缩	xueguanshousuo
血管活性肠肽	xueguanhuoxingchangtai
血管淋巴管瘤	xueguanlinbaguanliu
血管球	xueguanqiu
血管球瘤	xueguanqiuliu
血管痉挛	xueguanjingluan
血管痣	xueguanzhi
血管移植术	xueguanyizhishu
血管系统	xueguanxitong
血管紧张素转化酶	xueguanjinzhangsuzhuanhuamei
血管网状细胞瘤	xueguanwangzhuangxibaoliu
血管肉瘤	xueguanrouliu
血管舒张	xueguanshuzhang
血管运动性鼻炎	xueguanyundongxingbiyan
血管造影	xueguanzaoying
血糖试纸	xuetangshizhi
血红蛋白电泳	xuehongdanbaidianyong
血红蛋白病	xuehongdanbaibing
血细胞分析	xuexibaofenxi
血络通胶囊	xueluotongjiaonang
血胎屏障	xuetaipingzhang
血脂康胶囊	xuezhikangjiaonang
血脂灵胶囊	xuezhilingjiaonang
血脱	xuetuo
血色病	xuesebing
血虚寒凝证	xuexuhanningzheng
血虚生风	xuexushengfeng
血虚证	xuexuzheng
血行播散型肺结核	xuexingbosanxingfeijiehe
行为医学	xingweiyixue
行为治疗	xingweizhiliao
行为生态学	xingweishengtaixue
补中益气	buzhongyiqi
补中益气丸	buzhongyiqiwan
补中益气汤	buzhongyiqitang
补中益气颗粒	buzhongyiqikeli
补体系统	butixitong
补气升提	buqishengti
补益强心片	buyiqiangxinpian
补益资生丸	buyizishengwan
补肝汤	bugantang
补肺活血胶囊	bufeihuoxuejiaonang
补肾丸	bushenwan
补肾养血丸	bushenyangxuewan
补肾固齿	bushenguchi
补肾固齿丸	bushenguchiwan
补肾填精丸	bushentianjingwan
补肾强身胶囊	bushenqiangshenjiaonang
补肾益寿胶囊	bushenyishoujiaonang
补肾益气胶囊	bushenyiqijiaonang
补肾益脑胶囊	bushenyinaojiaonang
补脑安神片	bunaoanshenpian
补脾益肠丸	bupiyichangwan
补脾益肺	bupiyifei
补虚药	buxuyao
补血口服液	buxuekoufuye
补血益母颗粒	buxueyimukeli
补阳还五汤	buyanghaiwutang
补骨脂酊	buguzhiding
表位	biaowei
表儿茶素	biaoerchasu
表寒	biaohan
表寒里热	biaohanlire
表寒里热证	biaohanlirezheng
表情肌	biaoqingji
表气不固	biaoqibugu
表演型人格障碍	biaoyanxingrengezhangai
表皮囊肿	biaopinangzhong
表皮样囊肿	biaopiyangnangzhong
表皮生长因子	biaopishengzhangyinzi
表皮痣	biaopizhi
表皮细胞	biaopixibao
表皮葡萄球菌	biaopiputaoqiujun
表证	biaozheng
表达性失语	biaodaxingshiyu
表里俱热	biaolijure
表阿霉素	biaoameisu
表面培养	biaomianpeiyang
表面效度	biaomianxiaodu
表面结构	biaomianjiegou
表面麻醉	biaomianmazui
袁国勇	yuanguoyong
被动体位	beidongtiwei
被动吸烟	beidongxiyan
被动扩散	beidongkuosan
被动运动	beidongyundong
被囊	beinang
被害妄想	beihaiwangxiang
被膜	beimo
裂头绦虫病	lietoutaochongbing
裂头蚴病	lietouyoubing
裂解疫苗	liejieyimiao
裂解酶	liejiemei
裂谷热	liegure
裸花紫珠	luohuazizhu
裸花紫珠片	luohuazizhupian
裸花紫珠胶囊	luohuazizhujiaonang
褐藻多糖硫酸酯	hezaoduotangliusuanzhi
褐黄病	hehuangbing
西乐葆	xiyuebao
西医内科学	xiyineikexue
西医外科学	xiyiwaikexue
西司他丁钠	xisitadingna
西吡氯铵含片	xibilvanhanpian
西咪替丁	ximitiding
西咪替丁片	ximitidingpian
西地碘	xididian
西地碘含片	xididianhanpian
西地碘片	xididianpian
西妥昔单抗	xituoxidankang
西尼罗河热	xiniluohere
西布曲明	xibuquming
西帕依固龈液	xipayigukenye
西方文明史	xifangwenmingshi
西替利嗪	xitiliqin
西比灵	xibiling
西汉古酒	xihangujiu
西沙必利	xishabili
西洋参含片	xiyangshenhanpian
西洋参胶囊	xiyangshenjiaonang
西洛他唑	xiluotazuo
西洛他唑片	xiluotazuopian
西瓜霜润喉片	xiguashuangrunhoupian
西索米星	xisuomixing
西红花苷	xihonghuagan
西罗莫司	xiluomosi
西酞普兰	xitaipulan
西黄丸	xihuangwan
西黄清醒丸	xihuangqingxingwan
覃勤	tanqin
覆盖义齿修复	fugaiyichixiufu
观众效应	guanzhongxiaoying
觅食反射	mishifanshe
视乳头水肿	shirutoushuizhong
视交叉	shijiaocha
视力丧失	shilisangshi
视盘水肿	shipanshuizhong
视神经乳头水肿	shishenjingrutoushuizhong
视神经乳头炎	shishenjingrutouyan
视神经炎	shishenjingyan
视神经疾病	shishenjingjibing
视神经病变	shishenjingbingbian
视神经管	shishenjingguan
视神经胶质瘤	shishenjingjiaozhiliu
视神经萎缩	shishenjingweisuo
视网膜动脉硬化	shiwangmodongmaiyinghua
视网膜动脉阻塞	shiwangmodongmaizuse
视网膜变性	shiwangmobianxing
视网膜挫伤	shiwangmocuoshang
视网膜母细胞瘤	shiwangmomuxibaoliu
视网膜照度	shiwangmozhaodu
视网膜电图	shiwangmodiantu
视网膜电流图	shiwangmodianliutu
视网膜疾病	shiwangmojibing
视网膜病	shiwangmobing
视网膜病变	shiwangmobingbian
视网膜色素	shiwangmosesu
视网膜色素变性	shiwangmosesubianxing
视网膜萎缩	shiwangmoweisuo
视网膜血管炎	shiwangmoxueguanyan
视网膜震荡	shiwangmozhendang
视网膜静脉周围炎	shiwangmojingmaizhouweiyan
视网膜静脉阻塞	shiwangmojingmaizuse
视蛋白	shidanbai
视觉中枢	shijuezhongshu
视觉诱发电位	shijueyoufadianwei
视觉障碍	shijuezhangai
视诊	shizhen
视野缺损	shiyequesun
视锥细胞	shizhuixibao
角化不全	jiaohuabuquan
角化不良	jiaohuabuliang
角化棘皮瘤	jiaohuajipiliu
角化过度	jiaohuaguodu
角孙穴	jiaosunxue
角巩膜缘	jiaogongmoyuan
角膜变性	jiaomobianxing
角膜基质炎	jiaomojizhiyan
角膜基质环植入术	jiaomojizhihuanzhirushu
角膜异物	jiaomoyiwu
角膜挫伤	jiaomocuoshang
角膜擦伤	jiaomocashang
角膜新生血管	jiaomoxinshengxueguan
角膜映光法	jiaomoyingguangfa
角膜水肿	jiaomoshuizhong
角膜浑浊	jiaomohunzhuo
角膜溃疡	jiaomokuiyang
角膜瘘	jiaomolou
角膜瘢痕	jiaomobanhen
角膜白斑	jiaomobaiban
角膜移植术	jiaomoyizhishu
角膜翳	jiaomoyi
角膜营养不良	jiaomoyingyangbuliang
角膜葡萄肿	jiaomoputaozhong
角膜血管翳	jiaomoxueguanyi
角色偏差	juesepiancha
角质形成细胞	jiaozhixingchengxibao
角鲨烯胶丸	jiaoshaxijiaowan
解偶联	jieoulian
解剖显微镜	jiepouxianweijing
解剖生理学	jiepoushenglixue
解毒作用	jieduzuoyong
解毒止泻胶囊	jieduzhixiejiaonang
解毒生肌膏	jiedushengjigao
解毒胶囊	jiedujiaonang
解溪	jiexi
解溪穴	jiexixue
解热止痛散	jierezhitongsan
解热镇痛抗炎药	jierezhentongkangyanyao
解热镇痛药	jierezhentongyao
解痉	jiejing
解痉镇痛酊	jiejingzhentongding
解脲支原体	jieniaozhiyuanti
解郁	jieyu
解郁和肝丸	jieyuheganwan
解郁安神	jieyuanshen
言语治疗	yanyuzhiliao
计划免疫	jihuamianyi
计算机体层摄影	jisuanjiticengsheying
计算机应用基础	jisuanjiyingyongjichu
计算机文化基础	jisuanjiwenhuajichu
认知地图	renzhiditu
认知治疗	renzhizhiliao
认知神经科学	renzhishenjingkexue
认知行为治疗	renzhixingweizhiliao
认知领悟疗法	renzhilingwuliaofa
记忆增强	jiyizengqiang
记忆广度	jiyiguangdu
记忆痕迹	jiyihenji
记忆细胞	jiyixibao
记忆表象	jiyibiaoxiang
记忆障碍	jiyizhangai
许希	xuxi
许强	xuqiang
许浚	xujun
论治	lunzhi
识别位点	shibieweidian
诊断学基础	zhenduanxuejichu
诊断性刮宫	zhenduanxingguagong
诊断性刮宫术	zhenduanxingguagongshu
诊断试剂	zhenduanshiji
诊法	zhenfa
试管凝集试验	shiguanningjishiyan
试管刷	shiguanshua
试管夹	shiguanjia
诗乐	shile
语声低微	yushengdiwei
语言发育障碍	yuyanfayuzhangai
语言困难	yuyankunnan
误吸	wuxi
诱发突变	youfatubian
诱变育种	youbianyuzhong
诸病源候论	zhubingyuanhoulun
诸葛行军散	zhugexingjunsan
诺和灵	nuoheling
诺氟沙星注射液	nuofushaxingzhusheye
诺氟沙星滴眼液	nuofushaxingdiyanye
诺氟沙星胶囊	nuofushaxingjiaonang
诺迪康胶囊	nuodikangjiaonang
诺雷得	nuoleide
课堂讨论	ketangtaolun
调中益气汤	diaozhongyiqitang
调和肝脾	tiaoheganpi
调和脾胃	tiaohepiwei
调定点	diaodingdian
调经促孕丸	tiaojingcuyunwan
调经止痛胶囊	tiaojingzhitongjiaonang
调经活血片	tiaojinghuoxuepian
调经益母片	tiaojingyimupian
调经益灵片	tiaojingyilingpian
调经祛斑胶囊	tiaojingqubanjiaonang
调经至宝丸	tiaojingzhibaowan
调经补血丸	tiaojingbuxuewan
调肝汤	diaogantang
调胃承气汤	diaoweichengqitang
调胃舒肝丸	diaoweishuganwan
调节性内斜视	tiaojiexingneixieshi
谢婉雯	xiewanwen
谵妄状态	zhanwangzhuangtai
谷丙甘氨酸胶囊	gubingganansuanjiaonang
谷丙转氨酶	gubingzhuananmei
谷氨酰转移酶	guanxianzhuanyimei
谷氨酰转肽酶	guanxianzhuantaimei
谷红注射液	guhongzhusheye
谷维素片	guweisupian
谷胱甘肽还原酶	guguanggantaihuanyuanmei
谷芽	guya
谷草转氨酶	gucaozhuananmei
象皮肿	xiangpizhong
豹纹状眼底	baowenzhuangyandi
贝尼地平	beinidiping
贝母枇杷糖浆	beimupipatangjiang
贝羚胶囊	beilingjiaonang
贝苗	beimiao
贝诺酯片	beinuozhipian
贝那普利	beinapuli
贝齿	beichi
贞芪扶正胶囊	zhenqifuzhengjiaonang
负荷超声心动图	fuhechaoshengxindongtu
质量性状	zhiliangxingzhuang
贫血性心脏病	pinxuexingxinzangbing
贫血痣	pinxuezhi
贮积症	zhujizheng
贯通伤	guantongshang
贯黄感冒颗粒	guanhuangganmaokeli
贴敷疗法	tiefuliaofa
贵要静脉	guiyaojingmai
费伯雄	feiboxiong
费城染色体	feichengranseti
贾伯乐提督街	jiaboletidujie
资生丸	zishengwan
赖和	laihe
赖氨匹林	laianpilin
赖氨匹林肠溶胶囊	laianpilinchangrongjiaonang
赖氨葡锌片	laianpuxinpian
赖诺普利	lainuopuli
赖诺普利片	lainuopulipian
赘生物	zhuishengwu
赛庚啶	saigengding
赛胃安胶囊	saiweianjiaonang
赤松德赞	chisongdezan
赤白肉际	chibairouji
赤芍药	chishaoyao
赤芝	chizhi
赤魟	chihong
走行	zouxing
走马牙疳	zoumayagan
赵继宗	zhaojizong
超临界流体	chaolinjieliuti
超分子	chaofenzi
超声内镜	chaoshengneijing
超声医学	chaoshengyixue
超声吸脂	chaoshengxizhi
超声心动图	chaoshengxindongtu
超声成像	chaoshengchengxiang
超声波洁牙机	chaoshengbojieyaji
超声波疗法	chaoshengboliaofa
超声疗法	chaoshengliaofa
超声诊断学	chaoshengzhenduanxue
超声造影	chaoshengzaoying
超声雾化	chaoshengwuhua
超声雾化器	chaoshengwuhuaqi
超常期	chaochangqi
超微型浮游生物	chaoweixingfuyoushengwu
超急性排斥反应	chaojixingpaichifanying
超抗原	chaokangyuan
超氧化物岐化酶	chaoyanghuawuqihuamei
超氧化物歧化酶	chaoyanghuawuqihuamei
超滑导丝	chaohuadaosi
超滤器	chaolvqi
超短波疗法	chaoduanboliaofa
超种	chaozhong
超稳定性	chaowendingxing
超薄切片机	chaobaoqiepianji
超速离心机	chaosulixinji
越鞠丸	yuejuwan
越鞠保和丸	yuejubaohewan
趋异	quyi
足五里穴	zuwulixue
足光散	zuguangsan
足光粉	zuguangfen
足关节	zuguanjie
足内翻	zuneifan
足太阳膀胱经	zutaiyangpangguangjing
足太阴脾经	zutaiyinpijing
足少阳胆经	zushaoyangdanjing
足细胞	zuxibao
足背动脉	zubeidongmai
足菌肿	zujunzhong
足跟痛	zugentong
足阳明胃经	zuyangmingweijing
足骨	zugu
趾疣	zhiyou
趾骨骨折	zhiguguzhe
跌倒发作	diedaofazuo
跌打万花油	diedawanhuayou
跌打丸	diedawan
跌打损伤丸	diedasunshangwan
跌打止痛液	diedazhitongye
跌打活血散	diedahuoxuesan
跌打生骨颗粒	diedashenggukeli
跌打红药片	diedahongyaopian
跌打药酒	diedayaojiu
跌打风湿药酒	diedafengshiyaojiu
跖屈	zhiqu
跖疣	zhiyou
跖筋膜炎	zhijinmoyan
跖趾	zhizhi
跖趾关节	zhizhiguanjie
跖趾关节脱位	zhizhiguanjietuowei
跖骨痛	zhigutong
跖骨骨折	zhiguguzhe
跗节	fujie
跗跖	fuzhi
距骨	jugu
距骨骨折	juguguzhe
跟腱断裂	genjianduanlie
跟腱炎	genjianyan
跟骨	gengu
跟骨骨刺	genguguci
跟骨骨折	genguguzhe
跳痛	tiaotong
踝关节扭伤	huaiguanjieniushang
踝关节脱位	huaiguanjietuowei
踝关节融合术	huaiguanjierongheshu
踝关节骨折	huaiguanjieguzhe
踝足矫形器	huaizujiaoxingqi
踝骨骨折	huaiguguzhe
躁狂抑郁性精神病	zaokuangyiyuxingjingshenbing
身体依赖性	shentiyilaixing
身体意象	shentiyixiang
身柱穴	shenzhuxue
身痛逐瘀汤	shentongzhuyutang
躯体化障碍	qutihuazhangai
躯体变形障碍	qutibianxingzhangai
躯体形式障碍	qutixingshizhangai
躯体效应	qutixiaoying
躯干肌	quganji
躯干骨	qugangu
转化基因	zhuanhuajiyin
转化生长因子	zhuanhuashengzhangyinzi
转化糖	zhuanhuatang
转化糖注射液	zhuanhuatangzhusheye
转基因植物	zhuanjiyinzhiwu
转座因子	zhuanzuoyinzi
转换区	zhuanhuanqu
转换性障碍	zhuanhuanxingzhangai
转移因子口服液	zhuanyiyinzikoufuye
转移因子口服溶液	zhuanyiyinzikoufurongye
转移性腺癌	zhuanyixingxianai
转肽酶	zhuantaimei
转谷氨酰胺酶	zhuanguanxiananmei
轮回选择	lunhuixuanze
轮状病毒抗原	lunzhuangbingdukangyuan
轮状病毒疫苗	lunzhuangbingduyimiao
软产道异常	ruanchandaoyichang
软甲	ruanjia
软纤维瘤	ruanxianweiliu
软组织损伤	ruanzuzhisunshang
软组织肉瘤	ruanzuzhirouliu
软胶囊剂	ruanjiaonangji
软脑膜	ruannaomo
软骨发育不全	ruangufayubuquan
软骨炎	ruanguyan
软骨瘤	ruanguliu
软骨细胞	ruanguxibao
软骨肉瘤	ruangurouliu
轴位	zhouwei
轻度精神发育迟滞	qingdujingshenfayuchizhi
轻躁狂	qingzaokuang
载体效应	zaitixiaoying
辅肌动蛋白	fujidongdanbai
辐射性白内障	fushexingbaineizhang
输卵管伞	shuluanguansan
输卵管卵巢脓肿	shuluanguanluanchaonongzhong
输卵管发育异常	shuluanguanfayuyichang
输卵管吻合术	shuluanguanwenheshu
输卵管囊肿	shuluanguannangzhong
输卵管妊娠	shuluanguanrenshen
输卵管恶性肿瘤	shuluanguanexingzhongliu
输卵管积水	shuluanguanjishui
输卵管积脓	shuluanguanjinong
输卵管粘连	shuluanguanzhanlian
输卵管结扎术	shuluanguanjiezashu
输卵管结核	shuluanguanjiehe
输卵管通水	shuluanguantongshui
输卵管通液术	shuluanguantongyeshu
输尿管切开取石术	shuniaoguanqiekaiqushishu
输尿管扩张	shuniaoguankuozhang
输尿管损伤	shuniaoguansunshang
输尿管炎	shuniaoguanyan
输尿管狭窄	shuniaoguanxiazhai
输尿管畸形	shuniaoguanjixing
输尿管肿瘤	shuniaoguanzhongliu
输尿管镜碎石术	shuniaoguanjingsuishishu
输液反应	shuyefanying
输精管吻合术	shujingguanwenheshu
输精管复通术	shujingguanfutongshu
输精管炎	shujingguanyan
输精管结扎术	shujingguanjiezashu
输精管缺如	shujingguanqueru
输精管造影	shujingguanzaoying
输血器	shuxueqi
辛伐他汀片	xinfatatingpian
辛伐他汀胶囊	xinfatatingjiaonang
辛凉解表	xinliangjiebiao
辛夷花	xinyihua
辛夷鼻炎丸	xinyibiyanwan
辛弗林	xinfulin
辛温解表	xinwenjiebiao
辛芳鼻炎胶囊	xinfangbiyanjiaonang
边缘区	bianyuanqu
边缘型人格障碍	bianyuanxingrengezhangai
辽宁成大	liaoningchengda
达喜	daxi
达宁	daning
达峰时间	dafengshijian
达立通颗粒	dalitongkeli
达菲林	dafeilin
达诺	danuo
达那唑	danazuo
达那唑胶囊	danazuojiaonang
过度疲劳	guodupilao
过敏体质	guomintizhi
过敏性休克	guominxingxiuke
过敏性咳嗽	guominxingkesou
过敏性哮喘	guominxingxiaochuan
过敏性疾病	guominxingjibing
过敏性皮疹	guominxingpizhen
过敏性结肠炎	guominxingjiechangyan
过敏性结膜炎	guominxingjiemoyan
过敏性肺炎	guominxingfeiyan
过敏性腹泻	guominxingfuxie
过敏性血管炎	guominxingxueguanyan
过敏科	guominke
过期产儿	guoqichaner
过期妊娠	guoqirenshen
过氧乙酸溶液	guoyangyisuanrongye
过氧化物酶	guoyanghuawumei
过氧化苯酰	guoyanghuabenxian
过氧苯甲酰	guoyangbenjiaxian
过渡相	guoduxiang
